time_utc,equity_usd,available_usd,unrealized_pnl_usd,open_positions,gross_exposure_usd,net_exposure_usd,drawdown_pct
2026-05-01T00:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T00:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T00:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T00:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T01:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T01:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T01:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T01:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T02:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T02:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T02:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T02:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T03:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T03:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T03:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T03:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T04:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T04:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T04:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T04:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T05:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T05:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T05:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T05:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T06:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T06:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T06:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T06:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T07:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T07:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T07:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T07:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T08:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T08:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T08:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T08:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T09:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T09:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T09:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T09:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T10:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T10:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T10:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T10:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T11:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T11:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T11:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T11:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T12:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T12:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T12:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T12:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T13:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T13:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T13:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T13:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T14:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T14:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T14:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T14:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T15:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T15:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T15:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T15:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T16:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T16:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T16:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T16:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T17:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T17:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T17:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T17:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T18:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T18:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T18:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T18:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T19:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T19:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T19:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T19:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T20:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T20:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T20:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T20:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T21:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T21:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T21:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T21:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T22:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T22:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T22:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T22:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T23:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T23:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T23:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-01T23:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T00:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T00:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T00:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T00:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T01:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T01:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T01:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T01:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T02:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T02:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T02:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T02:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T03:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T03:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T03:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T03:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T04:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T04:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T04:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T04:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T05:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T05:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T05:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T05:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T06:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T06:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T06:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T06:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T07:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T07:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T07:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T07:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T08:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T08:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T08:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T08:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T09:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T09:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T09:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T09:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T10:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T10:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T10:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T10:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T11:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T11:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T11:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T11:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T12:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T12:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T12:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T12:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T13:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T13:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T13:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T13:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T14:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T14:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T14:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T14:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T15:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T15:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T15:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T15:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T16:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T16:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T16:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T16:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T17:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T17:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T17:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T17:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T18:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T18:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T18:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T18:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T19:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T19:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T19:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T19:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T20:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T20:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T20:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T20:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T21:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T21:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T21:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T21:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T22:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T22:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T22:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T22:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T23:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T23:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T23:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-02T23:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T00:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T00:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T00:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T00:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T01:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T01:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T01:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T01:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T02:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T02:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T02:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T02:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T03:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T03:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T03:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-05-03T03:59:59.0000000Z,10000,10000,0,0,0,0,0
